algorithm,feature,importance
isolation_forest,mpg,0.83420441
isolation_forest,comp,0.83409955
isolation_forest,tp2,0.78208763
isolation_forest,h1,0.77219469
isolation_forest,motor_current,0.73932861
isolation_forest,dv_eletric,0.73077624
isolation_forest,towers,0.61188427
isolation_forest,mode_risk_score,0.61188427
isolation_forest,sensor_risk_score,0.44297346
isolation_forest,pressure_switch,0.41963123
isolation_forest,caudal_impulses,0.40605957
isolation_forest,oil_level,0.38901019
isolation_forest,oil_temperature,0.3493692
isolation_forest,lps,0.22346666
isolation_forest,c0,0.14406292
isolation_forest,dv_pressure,0.10983379
isolation_forest,tp3,0.05751956
isolation_forest,reservoirs,0.05629097
isolation_forest_strict,mpg,0.83420441
isolation_forest_strict,comp,0.83409955
isolation_forest_strict,tp2,0.78208763
isolation_forest_strict,h1,0.77219469
isolation_forest_strict,motor_current,0.73932861
isolation_forest_strict,dv_eletric,0.73077624
isolation_forest_strict,towers,0.61188427
isolation_forest_strict,mode_risk_score,0.61188427
isolation_forest_strict,sensor_risk_score,0.44297346
isolation_forest_strict,pressure_switch,0.41963123
isolation_forest_strict,caudal_impulses,0.40605957
isolation_forest_strict,oil_level,0.38901019
isolation_forest_strict,oil_temperature,0.3493692
isolation_forest_strict,lps,0.22346666
isolation_forest_strict,c0,0.14406292
isolation_forest_strict,dv_pressure,0.10983379
isolation_forest_strict,tp3,0.05751956
isolation_forest_strict,reservoirs,0.05629097
